domain,state,category,portal_url,state_aliases,note
punjabiuniversity.ac.in,Punjab,Student Portal,https://punjabiuniversity.samarth.edu.in/index.php/site/login,"punjab, pb, patiala, sangrur, barnala, fatehgarh sahib",Punjabi University Patiala Samarth (unverified — Phase 3.5 probe)
ptu.ac.in,Punjab,Student Portal,https://ptu.samarth.edu.in/index.php/site/login,"punjab, pb, jalandhar, kapurthala, ludhiana, amritsar",IKG Punjab Technical University Jalandhar Samarth (unverified — Phase 3.5 probe)
mdurohtak.ac.in,Haryana,Student Portal,https://mdu.samarth.edu.in/index.php/site/login,"haryana, hr, rohtak, jhajjar, sonipat, bhiwani, charkhi dadri",Maharshi Dayanand University Rohtak Samarth (unverified — Phase 3.5 probe)
kuk.ac.in,Haryana,Student Portal,https://kuk.samarth.edu.in/index.php/site/login,"haryana, hr, kurukshetra, kaithal, karnal, panipat, yamunanagar",Kurukshetra University (KUK) Samarth (unverified — Phase 3.5 probe; key corrected from kvasu.ac.in which collided with Kerala Veterinary university)
hpuniv.ac.in,Himachal Pradesh,Student Portal,https://nstudentportal.hpushimla.in/ | https://exams.hpushimla.in/CommonLogin.aspx,"shimla, solan, kullu, kangra, hamirpur, una, bilaspur, chamba, sirmaur, sirmour, kinnaur, lahaul, spiti, dharamshala, palampur, nahan","Himachal Pradesh University Shimla — student + exam portals (general affiliator statewide except Mandi; official, Cloudflare-protected)"
himtu.ac.in,Himachal Pradesh,Student Portal,https://hptuexam.com/site/userlogin,"himachal pradesh, hp",HP Technical University (HIMTU) Hamirpur — engineering/technical colleges statewide (verified live)
spumandi.ac.in,Himachal Pradesh,Student Portal,https://spumandiexam.in/ | https://www.geonlinehub.com/SPU_CORE_PROD/Authentication/RegistrationAuth/Login,"mandi, sundernagar, joginder nagar",Sardar Patel University Mandi — exam + student registration portals (Mandi district; verified live)
amruhp.ac.in,Himachal Pradesh,Student Portal,https://erpamruhp.in/login.htm,"himachal pradesh, hp",Atal Medical & Research University Nerchowk — medical/nursing/pharmacy/dental colleges statewide (verified live)
uhf.ac.in,Himachal Pradesh,Student Portal,https://yspuniversity.samarth.ac.in/index.php/site/login,"himachal pradesh, hp",Dr. YS Parmar University of Horticulture & Forestry Nauni Samarth (horticulture/forestry statewide; verified live)
cuhimachal.ac.in,Himachal Pradesh,Student Portal,https://cuhimachal.samarth.edu.in/index.php/site/login | https://library.cuhimachal.ac.in/,,Central University of Himachal Pradesh Dharamshala — Samarth student + central library (central university; Gemini-mapped)
utkaluniversity.ac.in,Odisha,Student Portal,https://utkaluniversity.samarth.edu.in/index.php/site/login,"odisha, orissa, od, bhubaneswar, cuttack, puri, khordha",Utkal University Bhubaneswar Samarth (unverified — Phase 3.5 probe)
buodisha.ac.in,Odisha,Student Portal,https://buodisha.samarth.edu.in/index.php/site/login,"odisha, orissa, od, berhampur, ganjam, gajapati, rayagada",Berhampur University Samarth (unverified — Phase 3.5 probe)
keralauniversity.ac.in,Kerala,Student Portal,https://slcm.keralauniversity.ac.in/,"thiruvananthapuram, trivandrum, kollam, nedumangad, neyyattinkara, attingal, varkala, kazhakoottam, kazhakuttam",University of Kerala SLCM — student life-cycle portal (Thiruvananthapuram/Kollam region; verified live)
mgu.ac.in,Kerala,Student Portal,https://studentportal.mgu.ac.in/,"kottayam, idukki, ernakulam, alappuzha, pathanamthitta, pala, thodupuzha, muvattupuzha, changanassery, kanjirappally, kothamangalam",Mahatma Gandhi University Kottayam student portal (central Kerala region; verified live)
uoc.ac.in,Kerala,Student Portal,https://student.uoc.ac.in/,"kozhikode, calicut, malappuram, wayanad, palakkad, thrissur, thenhipalam, manjeri, tirur, ponnani, vadakara, kalpetta",University of Calicut integrated students' portal (Malabar region; verified live)
kannuruniversity.ac.in,Kerala,Student Portal,https://kannurops.kreap.co.in/studentLogin,"kannur, kasaragod, kasargod, thalassery, payyanur, taliparamba, mananthavady, mahe",Kannur University K-REAP student login (north Kerala region; verified live)
ssus.ac.in,Kerala,Student Portal,https://studentportal.ssus.ac.in/login,kalady,Sree Sankaracharya University of Sanskrit Kalady student portal (verified live)
ktu.edu.in,Kerala,Student Portal,https://app.ktu.edu.in/login.htm,"kerala, kl",APJ Abdul Kalam Technological University (KTU) e-Gov portal — all engineering colleges in Kerala (verified live)
cusat.ac.in,Kerala,Student Portal,https://cusat.samarth.edu.in/index.php/site/login,"kochi, cochin",Cochin University of Science and Technology Samarth (verified live; HTTP 200 with real login form)
kuhs.ac.in,Kerala,Student Portal,http://www2.kuhs.ac.in/kuhs_new/index.php/login/student-login,"kerala, kl","Kerala University of Health Sciences (KUHS) — all medical/nursing/pharmacy/dental/paramedical colleges (unverified — HTTP-only, Phase 3.5 probe)"
kau.in,Kerala,Student Portal,https://kau.auams.in/login.aspx,"kerala, kl","Kerala Agricultural University ICAR-AMS (unverified — auams.in refuses non-Indian IPs, Phase 3.5 probe)"
kvasu.ac.in,Kerala,Student Portal,https://kvasu.auams.in/login.aspx,"kerala, kl","Kerala Veterinary and Animal Sciences University ICAR-AMS (unverified — auams.in refuses non-Indian IPs, Phase 3.5 probe)"
ranchiuniversity.ac.in,Jharkhand,Student Portal,https://www.exam.ranchiuniversity.co.in/login,"ranchi, khunti, lohardaga, gumla, simdega",Ranchi University exam portal (Ranchi division; verified live)
vbu.ac.in,Jharkhand,Student Portal,https://www.vbu.ac.in/stdlogin,"hazaribagh, hazaribag, chatra, koderma, kodarma, giridih, ramgarh",Vinoba Bhave University Hazaribagh student login (North Chotanagpur; verified live)
skmu.ac.in,Jharkhand,Student Portal,https://exam.skmu.ac.in/skmuexamform/login,"dumka, deoghar, godda, sahibganj, sahebganj, pakur, jamtara, santhal pargana",Sido Kanhu Murmu University Dumka exam portal (Santhal Pargana; verified live)
bbmku.ac.in,Jharkhand,Student Portal,https://bbmkuniv.in/bbmkuexamform/login,"dhanbad, bokaro",Binod Bihari Mahto Koyalanchal University Dhanbad exam portal (Dhanbad/Bokaro; verified live)
kolhanuniversity.ac.in,Jharkhand,Student Portal,https://www.kuuniv.in/kuform.in/login,"chaibasa, west singhbhum, east singhbhum, jamshedpur, seraikela, saraikela, kharsawan, singhbhum",Kolhan University Chaibasa exam portal (Kolhan division; verified live)
dspmuranchi.ac.in,Jharkhand,Student Portal,https://dspmuranchi.samarth.edu.in/index.php/site/login,ranchi,Dr. Shyama Prasad Mukherjee University Ranchi Samarth (verified live)
npu.ac.in,Jharkhand,Student Portal,https://npuuniv.in/npuexamform/,"palamu, palamau, garhwa, latehar, daltonganj, medininagar, medininagar",Nilamber-Pitamber University Medininagar exam portal (Palamu/Garhwa/Latehar; verified live)
jutranchi.ac.in,Jharkhand,Student Portal,https://jutgyanjyoti.jharkhand.gov.in/,"jharkhand, jh",Jharkhand University of Technology (JUT) GyanJyoti portal — engineering/technical colleges statewide (verified live)
cuj.ac.in,Jharkhand,Student Portal,https://cuj.samarth.edu.in/index.php/site/login,,"Central University of Jharkhand Samarth (verified live; central university — Gemini-mapped only, no district attach)"
bauranchi.org,Jharkhand,Student Portal,https://amsbau.icar.gov.in/HomePage.aspx,"jharkhand, jh",Birsa Agricultural University ICAR-AMS (unverified — icar.gov.in refuses non-Indian IPs)
jwu.ac.in,Jharkhand,Student Portal,http://cas.jwu.ac.in/automation/jwuloginsem2onwords.aspx,,Jamshedpur Women's University CAS login (unverified — WAF-blocked; Gemini-mapped only)
